GPU	Run	Measurement	Duration	Speedup
TitanX Pascal	27	kernel	0.00156423	47.35614327816242
TitanX Pascal	27	memory	0.00789499	9.38264646313675
TitanX Pascal	27	parallel	0.009459219999999999	7.831079095316528
TitanX Pascal	28	sequential	0.0753589	1.0
TitanX Pascal	28	kernel	0.00155288	48.52847612178662
TitanX Pascal	28	memory	0.0121228	6.216294915366088
TitanX Pascal	28	parallel	0.013675679999999999	5.510431656780504
TitanX Pascal	29	sequential	0.0468427	1.0
TitanX Pascal	29	kernel	0.00155886	30.049330921314294
TitanX Pascal	29	memory	0.00789776	5.931137436437673
TitanX Pascal	29	parallel	0.00945662	4.953429449422732
TitanX Pascal	30	sequential	0.0771274	1.0
TitanX Pascal	30	kernel	0.00155795	49.50569658846561
TitanX Pascal	30	memory	0.00788676	9.779351723648242
TitanX Pascal	30	parallel	0.00944471	8.1662009738785
TitanX Pascal	31	sequential	0.0744633	1.0
TitanX Pascal	31	kernel	0.00155903	47.76258314464763
TitanX Pascal	31	memory	0.00791045	9.413282430203086
TitanX Pascal	31	parallel	0.009469479999999999	7.86350464861851
TitanX Pascal	32	sequential	0.0571733	1.0
TitanX Pascal	32	kernel	0.00156037	36.64086082147183
TitanX Pascal	32	memory	0.00786206	7.2720508365492
TitanX Pascal	32	parallel	0.00942243	6.0677871844099665
TitanX Pascal	33	sequential	0.0741553	1.0
TitanX Pascal	33	kernel	0.00156003	47.53453459228348
TitanX Pascal	33	memory	0.00791656	9.367111472659841
TitanX Pascal	33	parallel	0.00947659	7.825103755675828
TitanX Pascal	34	sequential	0.0719989	1.0
TitanX Pascal	34	kernel	0.00155316	46.35639599268588
TitanX Pascal	34	memory	0.00820809	8.77169962804989
TitanX Pascal	34	parallel	0.009761249999999999	7.37599180432834
TitanX Pascal	35	sequential	0.0553056	1.0
TitanX Pascal	35	kernel	0.00156327	35.37814964785354
TitanX Pascal	35	memory	0.00793584	6.969092118792719
TitanX Pascal	35	parallel	0.00949911	5.822187552307533
TitanX Pascal	36	sequential	0.0770565	1.0
TitanX Pascal	36	kernel	0.001561	49.363549007046764
TitanX Pascal	36	memory	0.00947158	8.135548662419575
TitanX Pascal	36	parallel	0.01103258	6.984449693544031
TitanX Pascal	37	sequential	0.0739862	1.0
TitanX Pascal	37	kernel	0.00155765	47.498603665778575
TitanX Pascal	37	memory	0.00820754	9.014418449377038
TitanX Pascal	37	parallel	0.00976519	7.57652436870148
TitanX Pascal	38	sequential	0.0548454	1.0
TitanX Pascal	38	kernel	0.00144156	38.04586697744111
TitanX Pascal	38	memory	0.0102764	5.337024638978631
TitanX Pascal	38	parallel	0.01171796	4.6804563251624005
TitanX Pascal	39	sequential	0.0470641	1.0
TitanX Pascal	39	kernel	0.00156126	30.144947029962974
TitanX Pascal	39	memory	0.00787241	5.978359866927662
TitanX Pascal	39	parallel	0.00943367	4.988949157644903
TitanX Pascal	40	sequential	0.0623128	1.0
TitanX Pascal	40	kernel	0.00156006	39.94256631155212
TitanX Pascal	40	memory	0.00785246	7.93544952791864
TitanX Pascal	40	parallel	0.00941252	6.620203728650775
TitanX Pascal	41	sequential	0.0659935	1.0
TitanX Pascal	41	kernel	0.00145582	45.33081012762567
TitanX Pascal	41	memory	0.00733457	8.9975963144397
TitanX Pascal	41	parallel	0.00879039	7.507459851041876
TitanX Pascal	42	sequential	0.0743097	1.0
TitanX Pascal	42	kernel	0.00155319	47.84327738396462
TitanX Pascal	42	memory	0.00813739	9.131883810410956
TitanX Pascal	42	parallel	0.009690579999999999	7.6682407038588005
TitanX Pascal	43	sequential	0.0553487	1.0
TitanX Pascal	43	kernel	0.00155622	35.5661153307373
TitanX Pascal	43	memory	0.00788209	7.022084244153518
TitanX Pascal	43	parallel	0.00943831	5.864259597321978
TitanX Pascal	44	sequential	0.0621837	1.0
TitanX Pascal	44	kernel	0.00145502	42.7373506893376
TitanX Pascal	44	memory	0.00728885	8.531345822729238
TitanX Pascal	44	parallel	0.00874387	7.111690818825074
TitanX Pascal	45	sequential	0.0763032	1.0
TitanX Pascal	45	kernel	0.00155376	49.108742662959536
TitanX Pascal	45	memory	0.0082134	9.290086931112572
TitanX Pascal	45	parallel	0.009767159999999999	7.812219724054895
TitanX Pascal	46	sequential	0.0719886	1.0
TitanX Pascal	46	kernel	0.00155852	46.19036008520904
TitanX Pascal	46	memory	0.00900585	7.9935375339362755
TitanX Pascal	46	parallel	0.01056437	6.814282347172619
TitanX Pascal	47	sequential	0.0736549	1.0
TitanX Pascal	47	kernel	0.00144008	51.14639464474195
TitanX Pascal	47	memory	0.00832825	8.84398282952601
TitanX Pascal	47	parallel	0.00976833	7.540173192347105
TitanX Pascal	48	sequential	0.057413	1.0
TitanX Pascal	48	kernel	0.00155603	36.897103526281626
TitanX Pascal	48	memory	0.00917387	6.258318463200371
TitanX Pascal	48	parallel	0.0107299	5.350748842020894
TitanX Pascal	49	sequential	0.0768447	1.0
TitanX Pascal	49	kernel	0.00154903	49.60827098248581
TitanX Pascal	49	memory	0.0125608	6.117818928730654
TitanX Pascal	49	parallel	0.01410983	5.44618184627313
TitanX Pascal	50	sequential	0.0434601	1.0
TitanX Pascal	50	kernel	0.00144533	30.06932672815205
TitanX Pascal	50	memory	0.00732345	5.934375192020155
TitanX Pascal	50	parallel	0.00876878	4.956231083457448
TitanX Pascal	51	sequential	0.079278	1.0
