strategy	n_threads	n_cols	n_rows	iterations	min	max	diff	avg	time	flops
pth	16	200	100	10000	2.177842e+01	9.890898e+01	1.457562e-03	7.282127e+01	1.157621e+00	2.075685e+09	
omp	16	200	100	10000	2.177842e+01	9.890898e+01	1.457562e-03	7.282127e+01	2.458519e-01	9.773596e+09	
pth	16	100	1000	10000	2.792779e+01	9.927205e+01	1.900957e-03	8.717685e+01	1.393492e+00	8.621712e+09	
omp	16	100	1000	10000	2.792779e+01	9.927205e+01	1.900957e-03	8.717685e+01	6.523140e-01	1.841795e+10	
pth	16	1000	100	10000	2.012168e+01	9.709574e+01	1.611490e-03	7.191693e+01	1.287699e+00	9.330043e+09	
omp	16	1000	100	10000	2.012168e+01	9.709574e+01	1.611490e-03	7.191693e+01	6.495844e-01	1.849534e+10	
pth	16	100	2000	10000	2.247003e+01	9.919370e+01	1.660900e-03	8.831761e+01	1.717407e+00	1.399120e+10	
omp	16	100	2000	10000	2.247003e+01	9.919370e+01	1.660900e-03	8.831761e+01	1.126019e+00	2.133939e+10	
pth	16	2000	100	10000	1.965332e+01	9.838499e+01	1.786453e-03	7.190366e+01	1.587611e+00	1.513505e+10	
omp	16	2000	100	10000	1.965332e+01	9.838499e+01	1.786453e-03	7.190366e+01	1.128661e+00	2.128945e+10	
pth	16	1000	1000	10000	1.873976e+01	9.937890e+01	1.917284e-03	8.707111e+01	2.616967e+00	4.590919e+10	
omp	16	1000	1000	10000	1.873976e+01	9.937890e+01	1.917284e-03	8.707111e+01	3.559784e+00	3.375004e+10	
pth	16	2000	2000	10000	1.870801e+01	9.952850e+01	1.988695e-03	8.808791e+01	8.299736e+01	5.790201e+09	
omp	16	2000	2000	10000	1.870801e+01	9.952850e+01	1.988695e-03	8.808791e+01	3.681813e+01	1.305258e+10	
pth	32	50	100	10000	2.623901e+01	7.842270e+01	1.601055e-03	6.680352e+01	3.882359e+00	1.547292e+08	
omp	32	50	100	10000	2.623901e+01	7.842270e+01	1.601055e-03	6.680352e+01	3.384993e-01	1.774640e+09	
pth	32	100	50	10000	2.250827e+01	8.879608e+01	1.966097e-03	5.759763e+01	3.792047e+00	1.584142e+08	
omp	32	100	50	10000	2.250827e+01	8.879608e+01	1.966097e-03	5.759763e+01	2.926624e-01	2.052584e+09	
pth	32	100	200	10000	2.067515e+01	9.723871e+01	1.468212e-03	7.848964e+01	3.611641e+00	6.653090e+08	
omp	32	100	200	10000	2.067515e+01	9.723871e+01	1.468212e-03	7.848964e+01	3.677603e-01	6.533759e+09	
pth	32	200	100	10000	2.177842e+01	9.890898e+01	1.457562e-03	7.282127e+01	3.747327e+00	6.412190e+08	
omp	32	200	100	10000	2.177842e+01	9.890898e+01	1.457562e-03	7.282127e+01	3.295591e-01	7.291127e+09	
pth	32	100	1000	10000	2.792779e+01	9.927205e+01	1.900957e-03	8.717685e+01	3.994508e+00	3.007701e+09	
omp	32	100	1000	10000	2.792779e+01	9.927205e+01	1.900957e-03	8.717685e+01	7.509756e-01	1.599824e+10	
pth	32	1000	100	10000	2.012168e+01	9.709574e+01	1.611490e-03	7.191693e+01	3.929421e+00	3.057521e+09	
omp	32	1000	100	10000	2.012168e+01	9.709574e+01	1.611490e-03	7.191693e+01	7.696567e-01	1.560993e+10	
pth	32	100	2000	10000	2.247003e+01	9.919370e+01	1.660900e-03	8.831761e+01	4.372646e+00	5.495202e+09	
omp	32	100	2000	10000	2.247003e+01	9.919370e+01	1.660900e-03	8.831761e+01	1.274802e+00	1.884887e+10	
pth	32	2000	100	10000	1.965332e+01	9.838499e+01	1.786453e-03	7.190366e+01	4.329581e+00	5.549861e+09	
omp	32	2000	100	10000	1.965332e+01	9.838499e+01	1.786453e-03	7.190366e+01	1.255157e+00	1.914388e+10	
pth	32	1000	1000	10000	1.873976e+01	9.937890e+01	1.917284e-03	8.707111e+01	5.662046e+00	2.121898e+10	
omp	32	1000	1000	10000	1.873976e+01	9.937890e+01	1.917284e-03	8.707111e+01	3.256471e+00	3.689358e+10	
pth	32	2000	2000	10000	1.870801e+01	9.952850e+01	1.988695e-03	8.808791e+01	7.817392e+01	6.147465e+09	
omp	32	2000	2000	10000	1.870801e+01	9.952850e+01	1.988695e-03	8.808791e+01	3.663452e+01	1.311800e+10
seq	2	50	100	10000	2.623901e+01	7.842270e+01	1.601055e-03	6.680352e+01	1.182087e-01	5.081811e+09	
pth	2	50	100	10000	2.623901e+01	7.842270e+01	1.601055e-03	6.680352e+01	3.275813e-01	1.833787e+09	
omp	2	50	100	10000	2.623901e+01	7.842270e+01	1.601055e-03	6.680352e+01	1.524461e-01	3.940502e+09	
seq	2	100	50	10000	2.250827e+01	8.879608e+01	1.966097e-03	5.759763e+01	1.305920e-01	4.599931e+09	
